word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
POLISH,polera,sopa,tvätta,3,sopa,tvätta,polera,Arm,arm,0,31,31,52,0,0,0,0,,,,,,,,,,,,,7,3.568,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
POLISH,polera,sopa,tvätta,3,sopa,tvätta,polera,Leg,leg,0,31,31,52,0,1,1,1,,,,,,,,,,,,,1,1.896,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
POLISH,polera,sopa,tvätta,3,sopa,tvätta,polera,,,0,31,31,52,,,,,,,,,,,,,,,,,,,3,1,2.95249038088,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WADE,vada,pulsa,plöja,2,pulsa,vada,plöja,Arm,arm,0,32,32,104,0,0,0,0,,,,,,,,,,,,,1,5.17,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WADE,vada,pulsa,plöja,2,pulsa,vada,plöja,Leg,leg,0,32,32,104,0,1,1,1,,,,,,,,,,,,,7,1.881,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
WADE,vada,pulsa,plöja,2,pulsa,vada,plöja,,,0,32,32,104,,,,,,,,,,,,,,,,,,,2,1,4.16010799329,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,Arm,arm,0,33,33,100,0,0,0,0,,,,,,,,,,,,,1,4.566,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,Leg,leg,0,33,33,100,0,1,1,1,,,,,,,,,,,,,7,1.966,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TROT,trava,promenera,flanera,1,trava,promenera,flanera,,,0,33,33,100,,,,,,,,,,,,,,,,,,,1,1,4.32739999795,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,luffa runt,rusa fram,gå fram och tillbaka,Arm,arm,0,34,34,45,0,0,0,0,,,,,,,,,,,,,4,7.599,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,luffa runt,rusa fram,gå fram och tillbaka,Leg,leg,0,34,34,45,0,1,1,1,,,,,,,,,,,,,6,9.583,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PACE,gå fram och tillbaka,luffa runt,rusa fram,3,luffa runt,rusa fram,gå fram och tillbaka,,,0,34,34,45,,,,,,,,,,,,,,,,,,,3,1,4.36132550581,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TUG,rycka,pressa,slå,1,rycka,pressa,slå,Arm,arm,0,35,35,102,0,0,0,0,,,,,,,,,,,,,7,3.46,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TUG,rycka,pressa,slå,1,rycka,pressa,slå,Leg,leg,0,35,35,102,0,1,1,1,,,,,,,,,,,,,2,2.421,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
TUG,rycka,pressa,slå,1,rycka,pressa,slå,,,0,35,35,102,,,,,,,,,,,,,,,,,,,1,1,6.94391239789,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PLOD,lunka,pulsa,vingla,1,lunka,vingla,pulsa,Arm,arm,0,36,36,49,0,0,0,0,,,,,,,,,,,,,1,9.591,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
