"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score","comment","type"
"verb_norming_oral_input","2018_Jun_14_1448",906,106,5.88702840095,"fånga","seize","ta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,107,7.52938259625,"nypa","nip","knycka",0,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,108,32.2511615263,"åka skridskor","skate","skejta",1,"this is correct as well, but not target. Foot-related though.","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,109,2.16391834329,"skumma","skim","",0,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,110,1.59372872576,"hacka","hack","hacka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,111,2.63348198711,"gå fram och tillbaka","pace","fart",0,"noun","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,112,1.8620072329,"stampa","stamp","stampa",1,"","leg"
"verb_norming_oral_input","2018_Jun_18_0953",907,1,70.0361410176,"hoppa","skip","hoppsa",1,"","leg"
"verb_norming_oral_input","2018_Jun_18_0953",907,2,2.46580627726,"fånga","catch","fånga",1,"","arm"
"verb_norming_oral_input","2018_Jun_18_0953",907,3,4.37758514896,"klappa","pat","klappa",1,"","arm"
"verb_norming_oral_input","2018_Jun_18_0953",907,4,2.44900742686,"tälja","carve","karva",1,"unsure of correctness","arm"
"verb_norming_oral_input","2018_Jun_18_0953",907,5,2.23066425334,"klämma","squeeze","klämma",1,"","arm"
"verb_norming_oral_input","2018_Jun_18_0953",907,6,2.43214338348,"nypa","pinch","nypa",1,"","arm"
"verb_norming_oral_input","2018_Jun_18_0953",907,7,2.59991102145,"vada","wade","vada",1,"","leg"
"verb_norming_oral_input","2018_Jun_18_0953",907,8,3.38807173758,"gripa tag i","grab","ta tag",1,"","arm"
"verb_norming_oral_input","2018_Jun_18_0953",907,9,2.39868634152,"fly","flee","fly",1,"","leg"
"verb_norming_oral_input","2018_Jun_18_0953",907,10,1.89556754843,"knacka","knock","knacka",1,"","arm"
